,Token_id,Two categories,Hair,Clothing,Background,Mouth,Offhand,Type,Eyes,Trait_count,Ear,Neck,Headgear,Face,Special
1241,1241,M,Blonde Short Spiky,Camo Tech Jacket,Off White C,Not Bad,Bat,Human,Lightning,7,,,,,
1242,1242,M,Brown Long,Black Blazer,Cool Gray,Relaxed,Banner,Human,Closed,8,,Chain,,,
1243,1243,M,Magenta Messy,Black Yukata,Cool Gray,Relaxed,Fireball,Human,Determined,10,Red Bean,Towel,Fur Bucket Hat,,
1244,1244,M,Brown Spiky,Bloody Bomber,Off White B,Growl,Floorsweeper,Human,Careless,9,Chiyogami,Chill Headphones,,,
1245,1245,M,Dreadlocks,Kimono with Jacket,Off White D,Chuckle,Shuriken,Human,Chill,9,Ear Cuffs,,,Reading Glasses,
1246,1246,M,Buzzcut,Dress Shirt,Dark Purple,Growl,Coin,Human,Bored,8,Wireless Earbuds,,,,
1247,1247,M,Silver Disheveled,Blue Bomber,Off White A,Whistling,Kanabo,Human,Pensive,8,Sloth,,,,
1248,1248,M,Blue Spiky,Matsuri Happi,Dark Purple,Meh,Boombox,Human,Meditating,9,,,Black Bucket Hat,,Butterfly
1249,1249,F,Indigo Pixie,Light Kimono,Off White D,Frown,Kanabo,Human,Determined,8,,,,Round Blue Sunglasses,
1250,1250,F,Silver Bob,Blue Kimono with Bow,Off White A,Smoking,,Human,Ruby,7,,Chill Headphones,,,
1251,1251,M,Indigo Fluffy,White T-Shirt,Off White A,Chuckle,Talisman,Human,Tired,8,,,Beret,,
1252,1252,F,Magenta Pigtails,Pink Oversized Kimono,Off White C,Laughing,Leather Katana,Human,Closed,7,,,,,
1253,1253,F,Blonde Bun,Red Panda Kimono,Off White A,Smirk,Sakura Katana,Human,Ruby,8,Dragon,,,,
1254,1254,F,Teal Bun,Light Armor,Off White B,Grin,Zanbato,Human,Closed,8,,,,Lipstick Kiss,
1255,1255,F,Purple Bun,Azuki Tech Jacket,Off White C,Smoking,,Human,Daydreaming,6,,,,,
1256,1256,M,Buzzcut,Brown Yukata,Red,Wheat Straw,Banner,Red,Determined,9,,Golden Headphones,,Eye Scar,
1257,1257,F,Pink Hairband,Yellow Bikini,Off White D,Frown,,Human,Ruby,6,,,,,
1258,1258,M,Maroon Disheveled,White T-Shirt,Off White A,Relaxed,Sakura Katana,Human,Careless,8,,,Cat Headband,,
1259,1259,F,Black Orange Bangs,Azuki Sweater,Off White C,Smile,Umbrella,Human,Ruby,8,,,Newsboy Cap,,
1260,1260,M,Orange Swept Back,Azuki Track Jacket,Off White C,Chuckle,,Human,Focused,8,,,Cowboy Hat,Clear Glasses,
1261,1261,F,Blue Nightshade Flowy,Blue Bomber,Off White D,Smoking,Lightning Orb,Human,Calm,9,Yin Yang,,Purple Kanzashi,,
1262,1262,F,Brown Flowy,Sloth T-Shirt,Off White D,Tongue Out,Talisman,Human,Amethyst,8,,,Newsboy Cap,,
1263,1263,F,Maroon Ponytail,Blue Qipao,Dark Blue,Closed,Monk Staff,Human,Joyful,9,,Tribal Tattoo,Cat Mask,,
1264,1264,M,Silver Long,Shinto Robe,Dark Blue,Smoking,,Human,Tired,7,,,,,Fox Fire
1265,1265,F,Magenta Pigtails,Archer,Off White C,Face Mask,Banner,Human,Closed,9,,,Straw Hat,Seer Eyeband,
1266,1266,M,Brown Spiky,White T-Shirt,Cool Gray,Smirk,Bat,Human,Closed,9,,,Frog Headband,Eye Patch,
1267,1267,F,Long Dreadlocks,Black Qipao,Off White B,Closed,,Human,Closed,9,Red Spiked Ring,Contract Tattoo,Horns,,
1268,1268,F,Magenta Flowy,Black Hoodie,Off White B,Face Mask,Zanbato,Human,Striking,8,,,Distressed Beanie,,
1269,1269,M,Maroon Disheveled,Kung Fu Shirt,Red,Chuckle,Shinai,Human,Indifferent,8,,,Chef Headband,,
1270,1270,M,Brown Disheveled,Maroon Yukata,Off White C,Bubble Gum,Lantern,Human,Curious,7,,,,,
1271,1271,M,Maroon Fluffy,Green Yukata,Off White B,Meh,,Human,Pensive,7,,,Broken Straw Hat,,
1272,1272,F,Maroon Ponytail,Yellow Bikini,Red,Grass,Umbrella,Human,Concerned,8,,,Sloth Mask,,
1273,1273,M,Orange Samurai,Alpine Jacket,Dark Blue,Whistling,,Human,Closed,8,,,,Ji Eyeband,Fox Fire
1274,1274,M,Indigo Disheveled,Cloud Poncho,Off White D,Bubble Gum,,Human,Closed,6,,,,,
1275,1275,F,Black Hairband,Fur Hoodie,Off White B,Smile,Leather Katana,Human,Pierced Eyebrow,7,,,,,
1276,1276,M,Green Spiky,Green Yukata,Off White B,Closed,Kanabo,Human,Pierced Eyebrow,7,,,,,
1277,1277,M,Maroon Disheveled,Maroon Yukata,Off White C,Closed,,Human,Curious,7,,Beads,,,
1278,1278,F,Maroon Ponytail,Sloth Hoodie,Red,Closed,Fan,Human,Closed,8,,,,Sleep Mask,
1279,1279,M,Green Spiky,Suikan,Off White A,Stubble,Bean Juice,Human,Meditating,8,,,Backwards Cap,,
1280,1280,M,Indigo Fluffy,White Layered Yukata,Off White A,Growl,Banner,Human,Closed,9,Skull Ear Cuffs,,Cowboy Hat,,
1281,1281,F,Green Ombre Bangs,Red Hoodie,Dark Purple,Toothpick,,Red,Calm,8,,,,Round Purple Sunglasses,Butterfly
1282,1282,F,Blonde Bob,Sloth Hoodie,Off White A,Smoking,Monkey King Staff,Human,Striking,10,Corded Earbuds,,Purple Kanzashi,Eye Scar,
1283,1283,M,Magenta Long,Suit with Turtleneck,Cool Gray,Stubble,,Human,Meditating,8,Yellow Fan,,IKZ Baseball Cap,,
1284,1284,F,Violet Flowy,Light Kimono,Off White D,Smoking,Monk Staff,Human,Concerned,8,Yellow Fan,,,,
1285,1285,M,Green Spiky,Suit with Turtleneck,Off White B,Smirk,Sakura Katana,Human,Bored,8,Dragon,,,,
1286,1286,F,Teal Bun,Blue Kimono with Bow,Off White D,Surprised,Lantern,Human,Concerned,9,,Koi Tattoo,IKZ Baseball Cap,,
1287,1287,F,Green Ponytail,Blue Floral Kimono,Off White B,Grin,Floorsweeper,Human,Pierced Eyebrow,8,,Beads,,,
1288,1288,M,Teal Messy,Tank Top,Off White A,Growl,,Human,Tired,8,,,Horns,Red Bandana,
1289,1289,M,Teal Messy,Hoshi Jacket,Off White A,Relaxed,Sakura Katana,Human,Pierced Eyebrow,7,,,,,
1290,1290,F,Blonde Bun,Blue Qipao,Off White B,Smirk,Gloves,Human,Daydreaming,10,Chiyogami,,Chef Headband,Blush,
1291,1291,F,Green Flowy,Bumblebee Jacket,Off White C,Laughing,Fan,Human,Amethyst,8,,Tribal Tattoo,,,
1292,1292,F,Brown Flowy,Blue Kimono with Bow,Dark Blue,Grin,,Human,Joyful,7,,,,Red Fang Face Paint,
1293,1293,F,Maroon Ponytail,Turquoise Kimono,Off White D,Frown,,Human,Determined,9,Yin Yang,Towel,Chef Headband,,
1294,1294,M,Teal Messy,White Blazer,Off White D,Chuckle,,Human,Pensive,6,,,,,
1295,1295,M,Teal Long,White T-Shirt,Off White B,Smirk,Leather Katana,Human,Closed,8,,,,Blue Sunglasses,
1296,1296,M,Teal Long,Maroon Yukata,Off White C,Toothpick,,Human,Chill,7,,Cat Headphones,,,
1297,1297,M,Indigo Long,Black Perfecto Jacket,Off White C,Not Bad,Bat,Human,Closed,8,Chill,,,,
1298,1298,F,Brown Ponytail,Black Ninja Top,Off White B,Lipstick,Floorsweeper,Human,Daydreaming,7,,,,,
1299,1299,F,Maroon Bun,Blue Floral Kimono,Off White D,Grass,Bokken,Red,Relaxed,9,Sunflower,Chill Headphones,,,
1300,1300,M,Blue Short Spiky,Blue Bomber,Off White B,Chuckle,Sake,Human,Bored,7,,,,,
1301,1301,M,Blonde Short Spiky,Blue Kimono,Off White C,Not Bad,,Human,Pensive,7,,,,Reading Glasses,
1302,1302,F,Orange Pixie,Blue Floral Kimono,Off White A,Laughing,Katana,Human,Relaxed,7,,,,,
1303,1303,F,Blue Bob,Lavender Kimono with Bow,Off White B,Chewing,Lantern,Human,Calm,8,,Chill Headphones,,,
1304,1304,M,Orange Samurai,Shinto Robe,Off White D,Face Mask,Zanbato,Human,Tired,9,,,Chef Headband,Reading Glasses,
1305,1305,M,Blonde Swept Back,Black Kimono,Off White D,420,Talisman,Human,Curious,7,,,,,
1306,1306,F,Silver Bangs,Turquoise Kimono with Bow,Off White A,Closed,,Human,Joyful,6,,,,,
1307,1307,F,Silver Ponytail,Azuki Track Jacket,Red,Closed,,Human,Relaxed,10,Dragon,Tribal Tattoo,Chef Headband,Red Stripes Face Paint,
1308,1308,F,Purple Bangs,Lavender Kimono with Bow,Dark Blue,Smoking,Coin,Human,Joyful,9,,Chill Headphones,Distressed Beanie,,
1309,1309,M,Brown Disheveled,Red Kimono,Cool Gray,Whistling,,Human,Closed,8,,Chain,,Sleep Mask,
1310,1310,M,Blonde Swept Back,Matsuri Happi,Off White C,Not Bad,Banner,Human,Pensive,7,,,,,
1311,1311,M,Magenta Messy,Black Bomber,Off White B,Chuckle,,Human,Suspicious,7,,,,Round Purple Sunglasses,
1312,1312,M,Indigo Swept Back,Sloth Yukata,Dark Blue,Toothpick,Monkey King Staff,Human,Bored,8,Chiyogami,,,,
1313,1313,M,Powder Blue Swept Back,Azuki Track Jacket,Off White B,Meh,,Human,Pensive,6,,,,,
1314,1314,F,Indigo Pixie,Red Floral Kimono,Off White B,Laughing,Boombox,Human,Closed,8,,,,Round Purple Sunglasses,
1315,1315,F,Silver Bob,Tank Top with Jacket,Cool Gray,Closed,,Human,Closed,8,,,Beret,Heart Eye Patch,
1316,1316,M,Blue Samurai,Kimono with Jacket,Off White D,Sleep Bubble,Monkey King Staff,Human,Closed,8,,,Red Panda Baseball Cap,,
1317,1317,F,Teal Bangs,Pink Oversized Kimono,Red,Sleep Bubble,Hook Sword,Human,Closed,9,,Chill Headphones,,Kabuki Facepaint,
1318,1318,M,Orange Short Spiky,Black Kimono,Dark Purple,Scroll,Shuriken,Human,Focused,10,Spiked Ring,Chill Headphones,Horns,,
1319,1319,M,Brown Fluffy,Black T-Shirt,Red,Smirk,,Human,Curious,7,,,,Red Fang Face Paint,
1320,1320,F,Long Dreadlocks,Cat Hoodie,Off White D,Toothpick,,Human,Amethyst,7,Ear Cuffs,,,,
1321,1321,M,Orange Samurai,Suikan,Off White C,Long Stubble,Shinai,Human,Pensive,10,,Red Panda Headphones,Red Panda Baseball Cap,Round Purple Sunglasses,
1322,1322,M,Silver Swept Back,White Yukata,Off White A,Chuckle,,Human,Tired,6,,,,,
1323,1323,M,Orange Short Spiky,Dress Shirt,Off White C,Pout,Skateboard,Human,Indifferent,8,Ethereum,,,,
1324,1324,M,Magenta Messy,Red Panda Yukata,Off White B,Closed,Katana,Human,Curious,8,,Beads,,,
1325,1325,M,Orange Short Spiky,Black Yukata,Off White C,Tactical Knife,Hand Seal,Human,Curious,8,,,,Kabuki Facepaint,
1326,1326,F,Brown Flowy,Red Floral Kimono,Off White C,Laughing,Sakura Katana,Human,Daydreaming,8,,,,Red Stripes Face Paint,
1327,1327,M,Brown Messy,Kimono with Straw Hat,Off White B,Growl,Talisman,Human,Focused,8,Cat,,,,
1328,1328,M,Teal Long,Azuki Tech Jacket,Off White D,Grass,Bat,Human,Closed,8,,,,Round Blue Sunglasses,
1329,1329,F,Teal Bun,Light Armor,Off White C,Chewing,,Human,Determined,8,,Chill Headphones,,Red Bandana,
1330,1330,F,Silver Bangs,Sloth T-Shirt,Off White B,Face Mask,Katana,Blue,Daydreaming,7,,,,,
1331,1331,F,Magenta Flowy,Red Ninja Top,Off White A,Frown,,Human,Daydreaming,6,,,,,
1332,1332,F,Green Pigtails,Hoodie,Off White C,Relaxed,,Human,Concerned,7,,Choker,,,
1333,1333,F,Black Pigtails,Frog T-Shirt,Dark Blue,Smile,Bat,Human,Closed,8,,,IKZ Baseball Cap,,
1334,1334,F,Spirit Ponytail,Black Ninja Top,Dark Blue,Closed,,Spirit,Daydreaming,7,,,,Clear Glasses,
1335,1335,M,Green Samurai,Hawaiian Shirt,Red,Whistling,,Human,Suspicious,9,Red Spiked Ring,Contract Tattoo,,Bandaid,
1336,1336,M,Blue Samurai,Alpine Jacket,Off White D,Bubble Gum,Floorsweeper,Human,Pensive,8,,,Frog Baseball Cap,,
1337,1337,F,Silver Ponytail,Tank Top with Jacket,Red,Grass,Zanbato,Red,Joyful,9,,,Sloth Headband,Red Fang Face Paint,
1338,1338,M,Teal Messy,Green Yukata,Off White A,Relaxed,Katana,Human,Suspicious,10,Chill,,Pointy Straw Hat,Red Stripes Face Paint,
1339,1339,M,Buzzcut,Kimono with Jacket,Red,Whistling,Fan,Human,Tired,8,,Chill Headphones,,,
1340,1340,M,Orange Short Spiky,Black Tech Jacket,Off White D,Smoking,Guitar,Human,Determined,7,,,,,
1341,1341,F,Green Pigtails,Azuki Tech Jacket,Red,Surprised,,Human,Concerned,9,Skull Ear Cuffs,Koi Tattoo,Sloth Headband,,
1342,1342,F,Blonde Flowy,Cat Kimono,Off White A,Tongue Out,Bat,Human,Closed,9,Wu,,Backwards Cap,,
1343,1343,F,Maroon Half Bun,Tank Top with Jacket,Dark Purple,Lipstick,,Human,Closed,8,,,Frog Mask,Eye Patch,
1344,1344,F,Maroon Half Bun,Denim Jacket,Off White A,Wheat Straw,,Human,Fire,6,,,,,
1345,1345,F,Powder Blue Pigtails,Cloud Poncho,Off White D,Smile,Hand Wrap,Human,Hopeful,8,,,,Red Fang Face Paint,
1346,1346,F,Black Pigtails,Red Qipao with Fur,Off White C,Closed,,Human,Closed,8,,,Chef Headband,Kabuki Facepaint,
1347,1347,F,Indigo Ponytail,White Qipao with Fur,Off White A,420,Shuriken,Human,Closed,8,Red Cylinder,,,,
1348,1348,M,Brown Spiky,Maroon Yukata,Dark Blue,Closed,,Human,Focused,6,,,,,
1349,1349,M,Indigo Long,Alpine Jacket,Cool Gray,Smirk,Hook Sword,Human,Indifferent,8,,Tribal Tattoo,,,
1350,1350,M,Buzzcut,Green Yukata,Off White C,Not Bad,Fireball,Human,Closed,9,,,Red Panda Headband,Eye Patch,
1351,1351,M,Silver Swept Back,Alpine Jacket,Dark Purple,Meh,Fishing Rod,Human,Bored,8,Small Hoop,,,,
1352,1352,F,Brown Half Bun,Red Panda T-Shirt,Off White C,Smile,Lantern,Human,Closed,8,,,,Black Glasses,
1353,1353,F,Blonde Flowy,Hoodie with Bag,Off White A,Frown,Bat,Human,Relaxed,8,Sword,,,,
1354,1354,F,Magenta Flowy,Bandage Top,Off White C,Bubble Gum,Fishing Rod,Human,Closed,9,Red Panda,,,Blue Sunglasses,
1355,1355,M,Black Disheveled,Green Yukata,Off White B,Closed,,Human,Meditating,7,,,,Blue Sunglasses,
1356,1356,F,Indigo Pixie,Black Ninja Top,Off White A,Relaxed,Gloves,Human,White,9,Red Tassel,,,Lipstick Kiss,
1357,1357,M,Powder Blue Swept Back,Blue Kimono,Off White C,Growl,Talisman,Human,Closed,8,,,Ayaigasa,,
1358,1358,F,Maroon Bun,Sloth Kimono,Red,Relaxed,Guitar,Human,Striking,8,,,,Blue Sunglasses,
1359,1359,F,Brown Ponytail,Azuki Tech Jacket,Red,Laughing,Hook Sword,Human,Determined,7,,,,,
1360,1360,F,Blonde Pixie,Turquoise Kimono,Red,Laughing,Leather Katana,Human,Calm,8,,,Horns,,
1361,1361,M,Blonde Long,Kung Fu Shirt,Off White C,Closed,Lantern,Human,Focused,8,,,Cat Mask,,
1362,1362,M,Brown Blonde Long,White T-Shirt,Off White A,Smirk,Katana,Human,Closed,8,,,,Bandaid,
1363,1363,F,Teal Bun,Bandage Top,Cool Gray,Sleep Bubble,,Human,Closed,7,,Koi Tattoo,,,
1364,1364,F,Indigo Bangs,Red Ninja Top,Off White A,Lipstick,Lantern,Human,Ruby,9,,Towel,Purple Kanzashi,,
1365,1365,F,Pink Pixie,Fur Hoodie,Off White C,Relaxed,Lantern,Human,Closed,7,,,,,
1366,1366,F,Brown Ponytail,Red Panda Hoodie,Red,Smirk,Bean Juice,Red,Ruby,10,,Koi Tattoo,,Red Bandana,Fireflies
1367,1367,M,Powder Blue Disheveled,Blue Kimono,Red,Not Bad,Hand Wrap,Human,Indifferent,7,,,,,
1368,1368,F,Indigo Pixie,Red Ninja Top,Off White A,Relaxed,,Human,Red,6,,,,,
1369,1369,M,Blonde Short Spiky,Black T-Shirt,Off White B,Bubble Gum,,Human,Suspicious,6,,,,,
1370,1370,M,Maroon Short Spiky,Azuki Tech Jacket,Off White B,Chuckle,Skateboard,Human,Pierced Eyebrow,7,,,,,
1371,1371,M,Teal Long,Bumblebee Jacket,Off White D,Chuckle,Bat,Human,Meditating,10,Red Panda,,Straw Hat,Black Glasses,
1372,1372,M,Green Fluffy,Red Kimono,Off White B,Wheat Straw,,Human,Meditating,9,Spiked Ring,Chain,Sloth Mask,,
1373,1373,F,Water,Frog Kimono,Off White D,Toothpick,Umbrella,Human,Closed,8,Red Tassel,,,,
1374,1374,F,Silver Pixie,Turquoise Kimono,Off White B,Chewing,Umbrella,Human,White,9,,Beads,,Reading Glasses,
1375,1375,F,Powder Blue Pigtails,Light Kimono,Dark Blue,Frown,Lantern,Human,Ruby,8,,,IKZ Baseball Cap,,
1376,1376,F,Black Pigtails,Sloth Kigurumi,Off White A,Lipstick,Leather Katana,Human,Determined,8,,,,Red Fang Face Paint,
1377,1377,M,Orange Short Spiky,Black Kimono,Red,Not Bad,Red Bean,Human,Closed,9,,,Distressed Beanie,Clear Glasses,
1378,1378,F,Black Bangs,Sloth Kimono,Off White C,Laughing,Banner,Human,Striking,8,,,Yellow Kanzashi,,
1379,1379,F,Brown Half Bun,Turquoise Kimono with Bow,Cool Gray,Smirk,Blue Bean,Human,Striking,7,,,,,
1380,1380,M,Brown Disheveled,Black Bomber,Red,Relaxed,Leather Katana,Human,Focused,8,,,Full Bandana,,
1381,1381,M,Gray Samurai,Frog Kigurumi,Dark Blue,Pout,Sakura Katana,Blue,Careless,7,,,,,
1382,1382,M,Blonde Long,White Blazer,Red,Chuckle,Zanbato,Human,Chill,7,,,,,
1383,1383,M,Black Fluffy,Black Kimono,Off White B,Growl,,Human,Focused,6,,,,,
1384,1384,M,Gray Samurai,Black Yukata,Red,Closed,Katana,Human,Suspicious,10,Dragon,Zen Headphones,,Reading Glasses,
1385,1385,F,Maroon Bob,Black Qipao,Off White A,Wheat Straw,Katana,Red,Determined,8,,,Broken Straw Hat,,
1386,1386,M,Orange Short Spiky,Shinto Robe,Cool Gray,Closed,Bean Juice,Human,Pensive,8,,,Full Bandana,,
1387,1387,F,Teal Hairband,Black Bomber,Off White D,Relaxed,,Human,Calm,8,Corded Earbuds,,Sandogasa,,
1388,1388,F,Green Pigtails,Sloth T-Shirt,Off White C,Tongue Out,Coin,Human,Ruby,8,,Koi Tattoo,,,
1389,1389,M,Teal Long,Azuki Sweater,Off White D,Pout,Floorsweeper,Human,Curious,8,,,Cowboy Hat,,
1390,1390,F,Brown Half Bun,Black Hoodie,Off White B,Relaxed,,Human,Daydreaming,6,,,,,
1391,1391,F,Silver Hairband,Cat Kimono,Red,Tongue Out,,Human,Determined,8,,,Cat Ears,Red Fang Face Paint,
1392,1392,M,Brown Long,Black Bomber,Off White A,Chuckle,,Human,Indifferent,8,,,Distressed Beanie,Red Stripes Face Paint,
1393,1393,F,Silver Pixie,Turquoise Kimono,Off White A,Smoking,,Human,Determined,9,,Contract Tattoo,Sloth Beanie,Eye Scar,
1394,1394,F,Silver Dreadlocks,Hoshi Jacket,Off White D,Relaxed,Bat,Human,Relaxed,7,,,,,
1395,1395,M,Silver Disheveled,Kimono with Jacket,Off White A,Not Bad,,Red,Closed,6,,,,,
1396,1396,M,Indigo Fluffy,Dress Shirt,Dark Blue,Chuckle,Kanabo,Human,Closed,7,,,,,
1397,1397,F,Blue Nightshade Half Bun,Fur Hoodie,Off White B,Frown,Lantern,Human,Closed,8,,,Cat Ears,,
1398,1398,M,Blonde Long,Yellow Jumpsuit,Off White D,Gaiter,,Human,Pierced Eyebrow,7,Square Stud,,,,
1399,1399,M,Indigo Fluffy,White T-Shirt,Off White B,Toothpick,,Human,Bored,7,,,Distressed Beanie,,
1400,1400,F,Blonde Flowy,Light Armor,Off White C,Wheat Straw,Katana,Human,Amethyst,8,,,Cat Beanie,,
1401,1401,F,Purple Bun,Turquoise Kimono,Off White C,Smile,,Human,Hopeful,7,,,,Red Fang Face Paint,
1402,1402,M,Fire,Beige Poncho,Dark Purple,Wheat Straw,,Human,Bored,8,Stud,,,,Smoke
1403,1403,M,Blonde Short Spiky,Rain Jacket,Off White C,Not Bad,Hook Sword,Human,Curious,9,,,Broken Straw Hat,Red Bandana,
1404,1404,F,Brown Ponytail,Blue Floral Kimono,Off White A,Tongue Out,Leather Katana,Human,Joyful,8,,,Purple Kanzashi,,
1405,1405,M,Blue Spiky,Suit with Turtleneck,Off White B,Pout,Bean Juice,Human,Tired,8,,,Chef Headband,,
1406,1406,F,Indigo Pixie,Hoodie,Off White A,Lipstick,Hand Seal,Human,Striking,10,,Choker,Fur Bucket Hat,Bandaid,
1407,1407,F,Silver Bob,Red Floral Kimono,Red,Bubble Gum,,Human,Striking,7,Corded Earbuds,,,,
1408,1408,F,Brown Bangs,Frog Hoodie,Dark Purple,Grin,,Human,White,7,,,Yellow Kanzashi,,
1409,1409,F,Green Pigtails,Beige Poncho,Dark Blue,Chewing,Banner,Human,Calm,8,,,,,Smoke
1410,1410,M,Pink Samurai,Azuki Sweater,Off White D,Chuckle,,Human,Curious,7,,,Cat Baseball Cap,,
1411,1411,F,Green Flowy,Light Armor,Off White A,Frown,,Human,Daydreaming,9,,Zen Headphones,Frog Beanie,Red Fang Face Paint,
1412,1412,M,Buzzcut,Black Blazer,Off White A,Meh,Monk Staff,Blue,Curious,10,Sword,Chain,,Round Purple Sunglasses,
1413,1413,M,Green Spiky,Bloody Bomber,Dark Purple,Closed,Katana,Human,Careless,7,,,,,
1414,1414,F,Water,Frog T-Shirt,Cool Gray,Smirk,,Human,Striking,8,Stud,,,,Water
1415,1415,F,Silver Bangs,Black Qipao,Off White A,Gaiter,Shuriken,Red,Daydreaming,8,,,Straw Hat,,
1416,1416,M,Blue Short Spiky,White T-Shirt,Off White C,Meh,,Human,Closed,7,,,,Ji Eyeband,
1417,1417,F,Magenta Pigtails,Alpine Jacket,Off White C,Smirk,Earth,Human,Determined,7,,,,,
1418,1418,M,Indigo Long,Light Kimono,Off White B,Chuckle,Zanbato,Human,Bored,8,,Koi Tattoo,,,
1419,1419,F,Purple Pigtails,Red Panda T-Shirt,Off White B,Laughing,,Human,Closed,10,Sunflower,Contract Tattoo,Broken Straw Hat,Clear Glasses,
1420,1420,F,Blue Half Bun,Red Ninja Top,Cool Gray,Chewing,Skateboard,Human,Daydreaming,10,,Sneakers,Yellow Kanzashi,Red Stripes Face Paint,
1421,1421,M,Fire,Archer,Off White A,Smoking,Banner,Human,Focused,9,Ear Cuffs,Zen Headphones,,,
1422,1422,M,Purple Spiky,Vest,Off White B,Not Bad,,Human,Red,7,,,Pointy Straw Hat,,
1423,1423,F,Teal Bun,Blue Qipao,Off White A,Laughing,Leather Katana,Human,Determined,7,,,,,
1424,1424,F,Blue Bob,Blue Bikini,Dark Blue,Laughing,,Human,Concerned,8,,,Cat Ears,,Fox Fire
1425,1425,M,Indigo Disheveled,Matsuri Happi,Red,Smoking,Fireball,Human,Meditating,8,,,,Kabuki Facepaint,
1426,1426,F,Green Pigtails,Frog T-Shirt,Off White B,Tongue Out,,Human,Determined,8,,Tribal Tattoo,,Blue Sunglasses,
1427,1427,M,Brown Messy,Blue Kimono,Off White A,Long Stubble,,Human,Bored,8,,Chill Headphones,Full Bandana,,
1428,1428,F,Maroon Bun,Bloody Bomber,Red,Whistling,Banner,Human,Red,8,,,Purple Kanzashi,,
1429,1429,F,Teal Hairband,Hoodie,Off White A,Whistling,Bat,Human,Amethyst,9,,Choker,Yellow Kanzashi,,
1430,1430,M,Silver Long,Kung Fu Shirt,Red,Pout,,Human,Focused,7,,,Cat Headband,,
1431,1431,F,Blonde Flowy,Red Ninja Top,Red,Laughing,Shinai,Human,Joyful,7,,,,,
1432,1432,M,Silver Short Spiky,Brown Yukata,Off White D,Relaxed,Guitar,Human,Indifferent,8,,,,Kabuki Facepaint,
1433,1433,M,Indigo Disheveled,Kimono with Straw Hat,Off White D,Chuckle,,Human,Indifferent,7,,,,Red Fang Face Paint,
1434,1434,F,Blonde Flowy,Bandage Top,Off White D,Lipstick,,Human,Closed,8,Small Hoop,,,Sleep Mask,
1435,1435,F,Blonde Flowy,Hoodie with Bag,Off White D,Toothpick,Zanbato,Human,Hopeful,9,,,Purple Kanzashi,Red Fang Face Paint,
1436,1436,M,Blonde Long,Bumblebee Jacket,Red,Growl,Sakura Katana,Human,Tired,8,,,Sandogasa,,
1437,1437,M,Brown Half Bun,Maroon Yukata,Off White A,Not Bad,,Human,Closed,7,,,Sloth Baseball Cap,,
1438,1438,M,Silver Short Spiky,Azuki Sweater,Off White D,Grass,Monk Staff,Human,Chill,8,,,Distressed Beanie,,
1439,1439,F,Blonde Bun,Bloody Bomber,Red,Grin,,Human,Ruby,7,,Zen Headphones,,,
1440,1440,M,Teal Long,Azuki Sweater,Off White D,Relaxed,,Human,Determined,8,,,Sloth Baseball Cap,Black Glasses,
1441,1441,M,Blue Spiky,Black Tech Jacket,Red,Face Mask,,Human,Chill,8,,,Chef Headband,Eye Scar,
1442,1442,M,Buzzcut,Archer,Red,Growl,,Blue,Indifferent,7,,,,Reading Glasses,
1443,1443,M,Black Swept Back,Blue Kimono,Cool Gray,Closed,Sake,Human,Bored,7,,,,,
1444,1444,M,Brown Spiky,Red Kimono,Off White A,420,Zanbato,Human,Suspicious,9,,Chain,Pointy Straw Hat,,
1445,1445,F,Black Hairband,Rain Jacket,Red,Toothpick,,Human,Relaxed,8,,,Beret,Bandaid,
1446,1446,M,Green Spiky,Blue Bomber,Dark Blue,Chuckle,Coin,Human,Suspicious,9,,,Straw Hat,Bandaid,
1447,1447,M,Blonde Messy,Dress Shirt,Off White D,Grass,Umbrella,Human,Focused,8,Yin Yang,,,,
1448,1448,F,Indigo Bangs,Lavender Kimono with Bow,Off White B,Smile,Gloves,Human,Relaxed,8,,Towel,,,
1449,1449,F,Maroon Bun,Black Ninja Top,Off White C,Smile,Kanabo,Red,Concerned,8,Spiked Ring,,,,
1450,1450,M,Teal Messy,Light Kimono,Red,Chuckle,Katana,Human,Suspicious,7,,,,,
1451,1451,M,Magenta Messy,White Layered Yukata,Off White D,Not Bad,Zanbato,Human,Pensive,8,Skull Ear Cuffs,,,,
1452,1452,M,Blonde Messy,Blue Bomber,Off White A,Relaxed,,Human,Closed,7,Frog,,,,
1453,1453,F,Silver Half Bun,Red Perfecto Jacket,Off White D,Chuckle,Hand Seal,Human,Closed,8,,,Straw Hat,,
1454,1454,F,Blonde Pixie,Hoodie with Bag,Off White C,Lipstick,Lantern,Human,Ruby,8,,,Purple Kanzashi,,
1455,1455,F,Teal Bangs,Hoodie,Off White D,Bubble Gum,,Human,Relaxed,8,,Choker,Broken Straw Hat,,
1456,1456,F,Green Flowy,Hoshi Jacket,Off White D,Closed,,Human,Relaxed,7,,,,Red Fang Face Paint,
1457,1457,M,Indigo Long,Brown Yukata,Off White A,Relaxed,Leather Katana,Human,Suspicious,8,,,Frog Headband,,
1458,1458,F,Purple Pigtails,Blue Kimono with Bow,Off White A,Frown,Monk Staff,Human,Joyful,8,,Chill Headphones,,,
1459,1459,F,Green Flowy,Tank Top,Off White B,Chewing,Bokken,Human,Closed,8,,,Ayaigasa,,
1460,1460,F,Blue Bob,Cat Kimono,Off White C,Grin,,Human,Relaxed,6,,,,,
