,Hair,Clothing,Background,Mouth,Offhand,Type,Eyes,Token_id,Trait_count,Ear,Neck,Headgear,Face,Special
1605,Silver Half Bun,Shinto Robe,Off White C,Wheat Straw,,Blue,Chill,1605,7,,Tribal Tattoo,,,
1606,Gray Samurai,Kung Fu Shirt,Off White A,Chuckle,Monkey King Staff,Human,Careless,1606,7,,,,,
1607,Indigo Long,Fur Hoodie,Off White B,Relaxed,,Human,Curious,1607,6,,,,,
1608,Brown Disheveled,Green Yukata,Off White A,Face Mask,Lantern,Human,Curious,1608,8,,Sneakers,,,
1609,Brown Flowy,Black Bomber,Off White D,Relaxed,Golden Ticket,Human,Relaxed,1609,8,Red Tassel,,,,
1610,Pink Pixie,Red Hoodie,Off White C,Smoking,Blue Bean,Human,Daydreaming,1610,7,,,,,
1611,Magenta Flowy,Black Hoodie,Cool Gray,Tongue Out,Lantern,Human,Determined,1611,8,,,,,Fireflies
1612,Green Half Bun,White Blazer,Red,Meh,Zanbato,Human,Curious,1612,8,,,Sloth Mask,,
1613,Purple Bun,Light Kimono,Red,Smile,,Human,Relaxed,1613,6,,,,,
1614,Blue Short Spiky,White T-Shirt,Off White B,Wheat Straw,,Human,White,1614,6,,,,,
1615,Black Fluffy,White Yukata,Off White B,Relaxed,Sakura Katana,Human,Determined,1615,7,,,,,
1616,Brown Dreadlocks,Light Kimono,Dark Purple,Lipstick,,Human,Closed,1616,8,,Towel,,Ji Eyeband,
1617,Blonde Flowy,Bloody Bomber,Off White C,Chewing,,Human,Concerned,1617,6,,,,,
1618,Silver Bob,Blue Kimono with Bow,Off White B,Lipstick,Leather Katana,Human,Closed,1618,7,,,,,
1619,Brown Flowy,Light Armor,Off White A,Smirk,Boombox,Human,Striking,1619,8,,Chill Headphones,,,
1620,Blonde Flowy,Blue Bomber,Off White B,Grin,,Human,Closed,1620,7,,Zen Headphones,,,
1621,Indigo Long,White Layered Yukata,Off White B,Pout,,Human,Meditating,1621,6,,,,,
1622,Blonde Short Spiky,Kimono with Straw Hat,Off White D,Relaxed,Water Orb,Human,Careless,1622,8,,,,Clear Glasses,
1623,Teal Hairband,Azuki Tech Jacket,Off White C,Lipstick,Boombox,Human,Pierced Eyebrow,1623,7,,,,,
1624,Magenta Long,Black Bomber,Off White D,Not Bad,Coin,Red,Chill,1624,7,,,,,
1625,Maroon Bob,Light Kimono,Off White B,Lipstick,Katana,Human,Relaxed,1625,8,,,,Round Blue Sunglasses,
1626,Black Fluffy,Tank Top,Off White A,420,,Human,Red,1626,8,,Sneakers,,Kabuki Facepaint,
1627,Orange Pixie,Alpine Jacket,Red,Frown,Zanbato,Human,Daydreaming,1627,8,Yin Yang,,,,
1628,Teal Bob,Turquoise Kimono,Off White C,Relaxed,Bat,Human,Striking,1628,11,Corded Earbuds,,Purple Kanzashi,Red Bandana,Water
1629,Blonde Bun,Black Oversized Kimono,Off White B,Wheat Straw,,Human,Daydreaming,1629,8,,Chill Headphones,Frog Beanie,,
1630,Magenta Long,White Blazer,Red,Grass,Fishing Rod,Human,Suspicious,1630,8,,,Straw Hat,,
1631,Blonde Messy,Suikan,Dark Purple,Growl,Shinai,Human,Careless,1631,8,Square Stud,,,,
1632,Magenta Long,Kimono with Straw Hat,Off White B,Grass,Lantern,Human,Closed,1632,8,,,,Eye Patch,
1633,Silver Bob,Azuki Track Jacket,Off White C,Lipstick,Boombox,Blue,Concerned,1633,8,,,IKZ Baseball Cap,,
1634,Orange Pixie,Sloth Kigurumi,Dark Blue,Smile,,Human,Hopeful,1634,8,,,,Red Stripes Face Paint,Fox Fire
1635,Blue Bun,Blue Floral Kimono,Red,Frown,Sakura Katana,Human,White,1635,9,,Chill Headphones,Full Bandana,,
1636,Blonde Pixie,Black Bomber,Off White C,Face Mask,Golden Monk Staff,Human,Determined,1636,9,,Zen Headphones,Azuki Cap,,
1637,Black Teal Bangs,Blue Kimono with Bow,Off White D,Laughing,Golden Bat,Human,Pierced Eyebrow,1637,9,,,Newsboy Cap,Round Blue Sunglasses,
1638,Silver Bob,Red Panda Hoodie,Off White C,Grass,Golden Kanabo,Human,Determined,1638,9,,,Red Panda Baseball Cap,Bandaid,
1639,Green Half Bun,Azuki Sweater,Off White D,Not Bad,Monkey King Staff,Human,Suspicious,1639,7,,,,,
1640,Brown Samurai,Maroon Yukata,Red,Chuckle,Leather Katana,Human,Determined,1640,8,,,Chef Headband,,
1641,Blue Samurai,Azuki Track Jacket,Off White D,Closed,Lantern,Human,Bored,1641,9,,,Full Bandana,Red Fang Face Paint,
1642,Fire,Red Kimono,Off White B,Chuckle,Zanbato,Human,Tired,1642,8,,Chain,,,
1643,Silver Disheveled,Suit with Turtleneck,Off White A,Relaxed,Banner,Human,Lightning,1643,8,,,Horns,,
1644,Brown Disheveled,Hoodie with Bag,Dark Blue,Chuckle,Fan,Human,Bored,1644,7,,,,,
1645,Silver Bun,Black Ninja Top,Dark Blue,Smoking,Talisman,Blue,Calm,1645,7,,,,,
1646,Blonde Bun,Red Ninja Top,Off White D,Tactical Knife,,Human,Calm,1646,7,,,Straw Hat,,
1647,Buzzcut,Maroon Yukata,Off White A,Smirk,,Human,Meditating,1647,6,,,,,
1648,Silver Bob,Blue Bikini,Off White C,Toothpick,Shinai,Human,Determined,1648,9,,,Frog Beanie,Kabuki Facepaint,
1649,Blue Samurai,Frog Kigurumi,Dark Purple,Pout,Sakura Katana,Human,Careless,1649,8,,,,Black Glasses,
1650,Silver Disheveled,Black T-Shirt,Off White D,Wheat Straw,Sakura Katana,Blue,White,1650,9,,,Chef Headband,Reading Glasses,
1651,Teal Bangs,Light Armor,Off White A,Smile,,Human,Amethyst,1651,8,,Chill Headphones,Beret,,
1652,Powder Blue Pigtails,Lavender Kimono with Bow,Off White A,Smoking,,Human,Hopeful,1652,6,,,,,
1653,Silver Pixie,Sloth Hoodie,Off White B,Relaxed,Fan,Blue,Ruby,1653,8,,Koi Tattoo,,,
1654,Blonde Flowy,Archer,Off White B,Bubble Gum,Monkey King Staff,Human,Concerned,1654,9,Stud,Koi Tattoo,,,
1655,Blonde Pixie,Frog Hoodie,Red,Whistling,,Human,Calm,1655,8,Sword,,,Blue Sunglasses,
1656,Blonde Bob,Cat Hoodie,Off White D,Relaxed,Lightning Orb,Human,Ruby,1656,9,,Towel,,Red Fang Face Paint,
1657,Silver Ponytail,Blue Kimono with Bow,Off White A,Lipstick,Katana,Human,Daydreaming,1657,9,,,Red Panda Baseball Cap,Round Blue Sunglasses,
1658,Long Dreadlocks,Red Hoodie,Off White D,Frown,,Human,Amethyst,1658,6,,,,,
1659,Orange Short Spiky,White Layered Yukata,Off White D,Whistling,,Human,Closed,1659,8,Square Stud,,,Sleep Mask,
1660,Powder Blue Disheveled,Red Hoodie,Off White B,Grass,,Human,Tired,1660,7,,,Cat Headband,,
1661,Blue Pink Ombre Flowy,Black Hoodie,Off White C,Laughing,,Human,Relaxed,1661,6,,,,,
1662,Magenta Pigtails,Black Qipao,Off White B,Whistling,Banner,Human,Calm,1662,7,,,,,
1663,Brown Long,Beige Poncho,Red,Wheat Straw,,Human,Curious,1663,8,Wu,,Frog Baseball Cap,,
1664,Blonde Hairband,Azuki Tech Jacket,Off White B,Grin,Umbrella,Human,Striking,1664,7,,,,,
1665,Silver Ponytail,Blue Kimono with Bow,Off White C,Relaxed,Hand Wrap,Human,Closed,1665,9,Square Stud,,,Eye Patch,
1666,Brown Long,Black Yukata,Off White C,Smoking,Zanbato,Human,Red,1666,7,,,,,
1667,Spirit Goddess,Blue Floral Kimono,Dark Blue,Closed,Golden Ticket,Spirit,Striking,1667,7,,,,,
1668,Blue Short Spiky,White Layered Yukata,Off White A,Growl,Monk Staff,Human,Curious,1668,9,,Zen Headphones,,Red Stripes Face Paint,
1669,Silver Ponytail,Azuki Tech Jacket,Off White D,420,Water Orb,Human,Hopeful,1669,7,,,,,
1670,Black Fluffy,Tank Top,Off White D,Wheat Straw,Golden Umbrella,Human,Pensive,1670,8,,,,Black Glasses,
1671,Maroon Disheveled,Dress Shirt,Dark Blue,Closed,Sakura Katana,Red,Bored,1671,9,,Sneakers,,,Fox Fire
1672,Teal Bob,Hoodie,Off White B,Frown,Red Bean,Human,Pierced Eyebrow,1672,11,Corded Earbuds,Choker,IKZ Baseball Cap,Round Blue Sunglasses,
1673,Blue Short Spiky,Frog Kigurumi,Off White B,Whistling,Zanbato,Human,Pierced Eyebrow,1673,7,,,,,
1674,Black Bangs,White Hoodie,Off White B,Grin,Hand Wrap,Human,Closed,1674,8,,,,Heart Eye Patch,
1675,Blonde Swept Back,Maroon Yukata,Off White D,Smoking,Fishing Rod,Human,Chill,1675,9,,Beads,Red Panda Headband,,
1676,Blue Samurai,White Layered Yukata,Off White C,Long Stubble,,Human,Focused,1676,7,,,,Kabuki Facepaint,
1677,Indigo Bangs,Blue Kimono with Bow,Off White C,Smirk,,Human,Ruby,1677,7,,,Sloth Beanie,,
1678,Blonde Long,Kung Fu Shirt,Off White D,Long Stubble,Leather Katana,Human,Curious,1678,7,,,,,
1679,Silver Long,Hawaiian Shirt,Off White A,Whistling,Bean Juice,Blue,Bored,1679,7,,,,,
1680,Silver Ponytail,Black Hoodie,Off White C,Toothpick,,Blue,Determined,1680,7,,,,Bandaid,
1681,Teal Bangs,Red Ninja Top,Off White C,Sleep Bubble,Monk Staff,Human,Closed,1681,7,,,,,
1682,Magenta Pigtails,Blue Bikini,Dark Purple,Smirk,,Human,Concerned,1682,7,,,,,Butterfly
1683,Pink Flowy,Azuki Track Jacket,Cool Gray,Closed,Katana,Human,Striking,1683,8,,,Yellow Kanzashi,,
1684,Fire,Black Yukata,Off White A,Meh,Lantern,Human,Closed,1684,7,,,,,
1685,Brown Samurai,Sloth Yukata,Off White D,Relaxed,,Human,Indifferent,1685,7,,,,Bandaid,
1686,Green Half Bun,Fur Hoodie,Off White D,Chewing,Blue Bean,Human,Closed,1686,9,,Tribal Tattoo,IKZ Baseball Cap,,
1687,Maroon Bun,Black Qipao,Off White A,420,,Human,Pierced Eyebrow,1687,6,,,,,
1688,Orange Samurai,Green Yukata,Off White D,Toothpick,,Human,Fire,1688,7,,Koi Tattoo,,,
1689,Green Samurai,Kung Fu Shirt,Off White D,Relaxed,,Human,Tired,1689,7,,Koi Tattoo,,,
1690,Green Spiky,Brown Yukata,Off White A,Closed,,Human,Fire,1690,7,,,Backwards Cap,,
1691,Blonde Swept Back,Kung Fu Shirt,Red,Chuckle,,Human,Bored,1691,8,,,Red Panda Headband,Kabuki Facepaint,
1692,Brown Messy,Bloody Bomber,Off White D,Face Mask,Fishing Rod,Human,Fire,1692,8,,,IKZ Baseball Cap,,
1693,Silver Bob,Golden Red Panda Kigurumi,Off White D,Smirk,Golden Fan,Red,Daydreaming,1693,8,,,,Red Stripes Face Paint,
1694,Braids,Black Yukata,Off White D,Meh,Boombox,Human,Red,1694,8,,Contract Tattoo,,,
1695,Silver Bob,Red Floral Kimono,Off White D,Grin,,Blue,Relaxed,1695,7,,,,,Smoke
1696,Maroon Ponytail,Turquoise Kimono with Bow,Red,Scroll,Lantern,Human,Relaxed,1696,8,,,Azuki Cap,,
1697,Purple Bun,Turquoise Kimono with Bow,Off White C,Smirk,,Human,Striking,1697,7,,,Chef Headband,,
1698,Black Pink Long,Kimono with Straw Hat,Off White D,Long Stubble,Sake,Human,Pensive,1698,9,,,Frog Mask,,Water
1699,Blue Half Bun,White Hoodie,Off White B,Smile,,Human,Joyful,1699,7,,,Full Bandana,,
1700,Purple Pigtails,Blue Kimono with Bow,Off White A,Relaxed,Sake,Human,Joyful,1700,9,,Towel,Red Panda Headband,,
1701,Blonde Long,Suit with Turtleneck,Red,Tactical Knife,Floorsweeper,Human,Indifferent,1701,8,,,,,Sakura
1702,Indigo Messy,Alpine Jacket,Off White D,Whistling,Katana,Human,Red,1702,7,,,,,
1703,Magenta Long,Frog T-Shirt,Off White A,Growl,Talisman,Red,Focused,1703,9,Ear Cuffs,,,Red Fang Face Paint,
1704,Pink Flowy,Alpine Jacket,Off White B,Laughing,Sakura Katana,Human,Closed,1704,7,,,,,
1705,Brown Spiky,White T-Shirt,Off White B,Chuckle,Banner,Human,Pierced Eyebrow,1705,7,,,,,
1706,Powder Blue Disheveled,Cat T-Shirt,Off White D,Relaxed,Sakura Katana,Human,Determined,1706,7,,,,,
1707,Indigo Messy,Sloth Yukata,Off White B,Growl,Kanabo,Human,Focused,1707,9,,Chill Headphones,,Red Stripes Face Paint,
1708,Brown Ponytail,Light Armor,Off White C,Frown,,Human,Determined,1708,8,Small Hoop,,Full Bandana,,
1709,Brown Spiky,Frog T-Shirt,Red,Toothpick,Fan,Human,Closed,1709,9,Chiyogami,,,Sleep Mask,
1710,Silver Half Bun,Red Ninja Top,Off White C,Chewing,Hand Wrap,Red,Closed,1710,7,,,,,
1711,Purple Pigtails,Straw Poncho,Off White D,Grin,,Human,Determined,1711,6,,,,,
1712,Orange Swept Back,White Hoodie,Off White A,Relaxed,Monkey King Staff,Human,Meditating,1712,9,,,,Eye Scar,Smoke
1713,Brown Samurai,Fur Hoodie,Off White A,Pout,Sakura Katana,Human,Curious,1713,9,Corded Earbuds,,Broken Straw Hat,,
1714,Orange Short Spiky,Blue Kimono,Off White A,Meh,,Human,Tired,1714,7,Chill,,,,
1715,Brown Flowy,Cat Kimono,Dark Purple,Scroll,Bat,Human,Pierced Eyebrow,1715,8,Small Hoop,,,,
1716,Brown Spiky,Shinto Robe,Off White A,Chuckle,Bat,Human,Curious,1716,9,Chill,,IKZ Baseball Cap,,
1717,Maroon Ponytail,Beige Poncho,Off White C,Lipstick,Bean Juice,Human,Hopeful,1717,9,,,Full Bandana,Blue Sunglasses,
1718,Orange Pixie,Turquoise Kimono,Off White B,Grin,,Human,Ruby,1718,7,Chill,,,,
1719,Powder Blue Pigtails,Black Ninja Top,Off White A,Whistling,,Human,Joyful,1719,6,,,,,
1720,Black Teal Bangs,Archer,Off White C,Gaiter,,Human,Amethyst,1720,6,,,,,
1721,Blonde Short Spiky,Camo Tech Jacket,Off White D,Not Bad,Kanabo,Human,Closed,1721,9,,,Black Bucket Hat,Sleep Mask,
1722,Silver Swept Back,Archer,Off White B,Relaxed,Shinai,Human,Careless,1722,8,,,,Bandaid,
1723,Silver Bob,Turquoise Kimono,Off White B,Smirk,Guitar,Red,Concerned,1723,7,,,,,
1724,Blue Bob,Tank Top with Jacket,Off White A,420,Sakura Katana,Human,Ruby,1724,8,,,Purple Kanzashi,,
1725,Buzzcut,Light Kimono,Off White C,Smoking,Golden Ticket,Human,Closed,1725,8,,,,Seer Eyeband,
1726,Green Teal Long,Red Panda T-Shirt,Dark Blue,Pout,Bat,Human,Indifferent,1726,8,,,Red Panda Headband,,
1727,Spirit Spiky,Vest,Off White C,Meh,,Spirit,Chill,1727,7,,,,,Lightning
1728,Indigo Disheveled,Black Yukata,Off White B,Closed,Katana,Human,Bored,1728,7,,,,,
1729,Silver Spiky,White T-Shirt,Off White C,Smirk,Hand Wrap,Red,Closed,1729,8,Stud,,,,
1730,Silver Bangs,Dress Shirt,Off White B,Wheat Straw,Bokken,Blue,Concerned,1730,7,,,,,
1731,Black Fluffy,Cat Kigurumi,Off White A,Smirk,,Human,Indifferent,1731,7,,,,Red Stripes Face Paint,
1732,Blue Bun,Cat T-Shirt,Off White D,Bubble Gum,,Human,Closed,1732,7,,,,Blush,
1733,Dreadlocks,Black Bomber,Dark Purple,Smirk,Zanbato,Human,Concerned,1733,8,,,,,Butterfly
1734,Silver Dreadlocks,Maroon Yukata,Off White B,Closed,,Blue,Closed,1734,8,,,Frog Mask,Clear Glasses,
1735,Teal Hairband,Blue Floral Kimono,Off White C,Smile,Zanbato,Human,Daydreaming,1735,10,Corded Earbuds,,Cowboy Hat,Blue Sunglasses,
1736,Blonde Bun,Azuki Tech Jacket,Off White A,Lipstick,,Human,Closed,1736,8,,,,Eye Patch,Sakura
1737,Green Ponytail,Alpine Jacket,Off White D,Lipstick,Sakura Katana,Human,Pierced Eyebrow,1737,9,Sakura,,Red Panda Mask,,
1738,Blue Short Spiky,Black Kimono,Off White D,Smirk,,Human,Meditating,1738,7,,,,Bandaid,
1739,Buzzcut,Light Kimono,Off White B,Growl,,Blue,Determined,1739,7,,,Chef Headband,,
1740,Brown Blonde Long,Red Hoodie,Off White B,Growl,Zanbato,Human,Focused,1740,7,,,,,
1741,Brown Messy,Cat T-Shirt,Cool Gray,Growl,Katana,Human,Determined,1741,7,,,,,
1742,Indigo Long,Dress Shirt,Off White C,Toothpick,,Human,Closed,1742,7,,,,Eye Patch,
1743,Black Bangs,Lavender Kimono with Bow,Off White D,Laughing,Leather Katana,Human,Daydreaming,1743,9,,Chill Headphones,Purple Kanzashi,,
1744,Silver Half Bun,Bumblebee Jacket,Off White B,Whistling,Lantern,Human,Meditating,1744,8,,,,Red Fang Face Paint,
1745,Silver Bun,Hoodie with Bag,Off White B,Lipstick,Red Bean,Red,Striking,1745,8,Blue Fan,,,,
1746,Maroon Bun,Hoodie,Off White A,Lipstick,,Human,Relaxed,1746,8,,Choker,,Blush,
1747,Spirit Goddess,White Qipao with Fur,Red,Grin,Talisman,Spirit,Daydreaming,1747,7,,,,,
1748,Silver Pixie,Turquoise Kimono,Off White A,Tongue Out,,Blue,Closed,1748,8,,,IKZ Baseball Cap,Sleep Mask,
1749,Silver Bun,Blue Kimono with Bow,Off White A,Relaxed,,Human,Ruby,1749,6,,,,,
1750,Silver Long,Black Kimono,Red,Toothpick,Coin,Blue,Focused,1750,9,Wu,,Distressed Beanie,,
1751,Blue Hairband,Dress Shirt,Off White C,Frown,,Human,Ruby,1751,6,,,,,
1752,Brown Half Bun,White Yukata,Off White C,Pout,Floorsweeper,Human,Closed,1752,7,,,,,
1753,Silver Swept Back,Light Kimono,Off White D,Toothpick,Bat,Human,Indifferent,1753,8,,,Frog Baseball Cap,,
1754,Orange Short Spiky,Black Blazer,Off White A,Not Bad,Leather Katana,Human,Closed,1754,9,,Chain,,Eye Patch,
1755,Green Spiky,Kung Fu Shirt,Off White B,Meh,Umbrella,Human,Indifferent,1755,8,,,Beret,,
1756,Blue Samurai,Sloth T-Shirt,Off White B,Chuckle,,Human,Focused,1756,6,,,,,
1757,Blonde Bun,Blue Kimono with Bow,Off White C,Chewing,Shuriken,Human,Hopeful,1757,7,,,,,
1758,Teal Bun,Turquoise Kimono,Off White D,Frown,Katana,Human,Ruby,1758,9,,,Yellow Kanzashi,Red Bandana,
1759,Brown Disheveled,Red Panda T-Shirt,Red,Smirk,,Human,Careless,1759,7,,Zen Headphones,,,
1760,Brown Blonde Long,Black Bomber,Off White A,Pout,Boombox,Human,Chill,1760,7,,,,,
1761,Black Swept Back,Red Perfecto Jacket,Off White C,Smoking,Golden Bean,Human,Curious,1761,8,,,IKZ Baseball Cap,,
1762,Teal Messy,Brown Yukata,Off White A,Pout,Lantern,Human,Chill,1762,8,Red Spiked Ring,,,,
1763,Maroon Ponytail,Hoshi Jacket,Off White D,Bubble Gum,Shuriken,Red,Closed,1763,8,,,,Heart Eye Patch,
1764,Blue Half Bun,Light Kimono,Off White B,Wheat Straw,,Human,Closed,1764,7,,,,Heart Eye Patch,
1765,Maroon Bob,Azuki Sweater,Red,Grin,,Human,Pierced Eyebrow,1765,6,,,,,
1766,Blue Bun,Black Bomber,Off White A,Smile,Lantern,Human,Joyful,1766,7,,,,,
1767,Orange Swept Back,Hoshi Jacket,Red,Smoking,,Human,Suspicious,1767,6,,,,,
1768,Indigo Ponytail,Turquoise Kimono,Off White B,Tongue Out,,Human,Striking,1768,6,,,,,
1769,Indigo Disheveled,Bumblebee Jacket,Off White B,Stubble,Coin,Human,Closed,1769,9,Chiyogami,,Ayaigasa,,
1770,Black Pigtails,Fur Hoodie,Off White C,420,Golden Monk Staff,Human,Red,1770,9,Wireless Earbuds,,Yellow Kanzashi,,
1771,Maroon Ponytail,Dress Shirt,Off White C,Whistling,Bokken,Human,Determined,1771,8,,,,Reading Glasses,
1772,Blonde Pixie,Turquoise Kimono with Bow,Red,Laughing,Boombox,Human,Striking,1772,8,,,Yellow Kanzashi,,
1773,Brown Spiky,Kimono with Straw Hat,Off White D,Meh,,Human,Closed,1773,8,,,IKZ Baseball Cap,Seer Eyeband,
1774,Blue Bun,Yellow Bikini,Off White A,Chewing,Bean Juice,Human,Pierced Eyebrow,1774,8,,,,Blush,
1775,Blonde Hairband,White Hoodie,Dark Blue,Surprised,Bat,Human,Ruby,1775,7,,,,,
1776,Silver Spiky,Black Yukata,Off White D,Smirk,,Red,Tired,1776,7,Dragon,,,,
1777,Green Ponytail,White Qipao with Fur,Off White B,Smile,Bat,Human,Determined,1777,7,,,,,
1778,Brown Fluffy,Sloth T-Shirt,Off White B,Relaxed,Fan,Human,Meditating,1778,8,,,Sloth Baseball Cap,,
1779,Silver Pixie,Black Tech Jacket,Off White A,Chewing,,Human,Joyful,1779,7,,,,Red Stripes Face Paint,
1780,Purple Spiky,White Yukata,Off White D,Gaiter,Sakura Katana,Human,Careless,1780,7,,,,,
1781,Teal Bob,Blue Bikini,Off White D,Frown,Golden Monkey King Staff,Human,Amethyst,1781,7,,,,,
1782,Maroon Ponytail,White Qipao with Fur,Off White B,Toothpick,Fishing Rod,Human,Calm,1782,10,Chiyogami,,Cat Baseball Cap,Lipstick Kiss,
1783,Brown Spiky,Light Kimono,Off White B,Closed,Red Bean,Red,Meditating,1783,8,,,Distressed Beanie,,
1784,Magenta Long,Green Yukata,Off White A,Smoking,Umbrella,Red,Determined,1784,8,,Red Panda Headphones,,,
1785,Maroon Bun,Blue Bikini,Off White B,Tongue Out,,Human,Striking,1785,6,,,,,
1786,Teal Bun,Hawaiian Shirt,Off White B,Grin,Coin,Human,Hopeful,1786,8,,,Broken Straw Hat,,
1787,Maroon Ponytail,Blue Bikini,Dark Purple,Chewing,Katana,Human,Amethyst,1787,8,,Tribal Tattoo,,,
1788,Indigo Pixie,Red Ninja Top,Off White D,Chewing,Talisman,Human,Amethyst,1788,9,,,IKZ Baseball Cap,Clear Glasses,
1789,Pink Flowy,Yellow Bikini,Off White D,Wheat Straw,,Human,Calm,1789,7,,,,Clear Glasses,
1790,Blonde Short Spiky,Azuki Tech Jacket,Off White C,Chuckle,Golden Skateboard,Human,Suspicious,1790,8,Ethereum,,,,
1791,Silver Short Spiky,Green Yukata,Red,Smoking,,Human,Bored,1791,9,Red Bean,Red Panda Headphones,IKZ Baseball Cap,,
1792,Teal Hairband,Red Floral Kimono,Off White D,Whistling,Skateboard,Human,Determined,1792,8,,Sloth Headphones,,,
1793,Teal Hairband,Blue Bikini,Dark Blue,Smirk,,Human,Calm,1793,7,,,Full Bandana,,
1794,Brown Disheveled,Tank Top,Off White B,Pout,,Human,Focused,1794,7,,,Cat Ears,,
1795,Orange Pixie,Red Hoodie,Off White D,Chewing,Sakura Katana,Human,Striking,1795,8,,,IKZ Baseball Cap,,
1796,Black Pigtails,Blue Qipao,Off White A,Smile,,Human,Closed,1796,7,,,Frog Mask,,
1797,Silver Disheveled,White Layered Yukata,Off White D,Growl,Shinai,Human,Closed,1797,9,Small Hoop,,,Eye Patch,
1798,Magenta Flowy,Blue Bomber,Dark Blue,Smirk,Banner,Human,Ruby,1798,10,,Zen Headphones,Distressed Beanie,Clear Glasses,
1799,Powder Blue Swept Back,Blue Bomber,Dark Blue,Closed,Banner,Human,Tired,1799,7,,,,,
1800,Green Fluffy,Azuki Sweater,Off White A,Not Bad,Sakura Katana,Human,Closed,1800,8,,,,Round Purple Sunglasses,
1801,Pink Bangs,Rain Jacket,Dark Purple,Smirk,,Human,Red,1801,6,,,,,
1802,Purple Pigtails,Frog Kigurumi,Off White B,Relaxed,Fan,Human,Concerned,1802,7,,,,,
1803,Blue Half Bun,Blue Kimono,Off White D,Smirk,Banner,Human,Curious,1803,8,,,IKZ Baseball Cap,,
1804,Silver Disheveled,Cat T-Shirt,Off White C,Bubble Gum,,Human,Pierced Eyebrow,1804,7,,,IKZ Baseball Cap,,
1805,Blonde Messy,Black Tech Jacket,Off White C,Sleep Bubble,,Human,Closed,1805,7,,,IKZ Baseball Cap,,
1806,Blonde Short Spiky,Blue Kimono,Off White C,Face Mask,Coin,Human,Chill,1806,7,,,,,
1807,Pink Bangs,Turquoise Kimono,Off White B,Grin,Leather Katana,Human,Relaxed,1807,8,,,Beret,,
1808,Magenta Pigtails,Blue Bikini,Off White C,Smoking,,Red,Concerned,1808,7,,,Frog Headband,,
1809,Indigo Bangs,Light Kimono,Off White A,Tactical Knife,Fishing Rod,Human,Closed,1809,7,,,,,
1810,Blue Bob,Red Qipao with Fur,Dark Blue,Bubble Gum,Hook Sword,Human,Calm,1810,10,,,Broken Straw Hat,Lipstick Kiss,Fox Fire
1811,Blue Pink Ombre Flowy,Red Floral Kimono,Dark Blue,Grin,Bokken,Human,Hopeful,1811,9,,Chill Headphones,,,Fox Fire
1812,Black Bangs,Red Ninja Top,Off White C,Closed,Shinai,Human,Amethyst,1812,7,,,,,
1813,Silver Hairband,Turquoise Kimono with Bow,Off White B,Chewing,Monkey King Staff,Human,Joyful,1813,8,,,,Reading Glasses,
1814,Blonde Short Spiky,Black T-Shirt,Off White B,Bubble Gum,,Human,Suspicious,1814,8,,,Sandogasa,Round Blue Sunglasses,
1815,Blonde Bun,Frog Kimono,Off White B,Tongue Out,,Human,Closed,1815,8,,Towel,,Seer Eyeband,
1816,Magenta Pigtails,Blue Bikini,Cool Gray,Wheat Straw,,Red,Amethyst,1816,7,,,Black Bucket Hat,,
1817,Silver Short Spiky,White Layered Yukata,Dark Purple,Meh,,Human,Tired,1817,8,,Tribal Tattoo,,Round Blue Sunglasses,
1818,Maroon Disheveled,Vest,Off White C,Scroll,Coin,Human,Pensive,1818,7,,,,,
1819,Maroon Ponytail,Azuki Track Jacket,Off White B,Chewing,,Human,Ruby,1819,7,,,,Red Bandana,
1820,Blue Spiky,White Layered Yukata,Off White D,Smoking,,Human,Chill,1820,7,,,Newsboy Cap,,
1821,Black Pink Long,Kung Fu Shirt,Off White B,Pout,Banner,Human,Pierced Eyebrow,1821,7,,,,,
1822,Blonde Pixie,Red Perfecto Jacket,Off White D,Lipstick,Earth,Human,Joyful,1822,8,Yellow Fan,,,,
1823,Blue Bob,Azuki Track Jacket,Off White C,Surprised,Bean Juice,Human,Striking,1823,9,Corded Earbuds,,,Kabuki Facepaint,
1824,Blonde Bob,Red Panda Hoodie,Dark Blue,Smile,Bat,Human,Striking,1824,9,,,Straw Hat,,Fox Fire
1825,Maroon Ponytail,Red Ninja Top,Dark Purple,Closed,,Human,Amethyst,1825,8,,Koi Tattoo,,,Butterfly
1826,Black Pigtails,Cat T-Shirt,Dark Blue,Frown,Fan,Human,Concerned,1826,8,,,,,Lightning
1827,Brown Messy,Maroon Yukata,Off White A,Relaxed,Katana,Human,Careless,1827,7,,,,,
1828,Black Disheveled,Red Panda T-Shirt,Dark Purple,Closed,Monkey King Staff,Human,Pensive,1828,9,,Chill Headphones,Horns,,
1829,Green Spiky,Archer,Off White B,Relaxed,Fan,Human,Focused,1829,9,,,Beret,Eye Scar,
1830,Orange Pixie,Blue Floral Kimono,Red,Relaxed,Fan,Human,Determined,1830,8,,,Purple Kanzashi,,
1831,Indigo Fluffy,Denim Jacket,Off White B,Bubble Gum,,Human,Tired,1831,6,,,,,
1832,Indigo Disheveled,Frog Yukata,Off White C,Wheat Straw,,Human,Pensive,1832,7,,Chill Headphones,,,
1833,Indigo Pixie,Turquoise Kimono with Bow,Off White B,Closed,Guitar,Human,Ruby,1833,8,,,Sandogasa,,
1834,Teal Hairband,Dress Shirt,Off White B,Face Mask,,Human,Ruby,1834,6,,,,,
1835,Green Ombre Flowy,Red Floral Kimono,Off White C,Whistling,,Human,Striking,1835,6,,,,,
